"","DEPARTMENT","MUNICIPALITY","PRECINCT","CC","FPV","MTS","UCS","MAS","X21F","PDC","MNR","PAN.BOL","VALID","BLANK","NULL.","VOTES","ELECTORATE","MAS.vote","Turnout"
"79","Chuquisaca","Sucre","Colegio Junin",152,1,0,2,33,0,3,2,2,195,0,2,197,217,0.169,0.908
"80","Chuquisaca","Sucre","Esc. Mariscal De Ayacucho",162,0,0,1,14,2,8,1,0,188,1,3,192,215,0.074,0.893
"81","Chuquisaca","Sucre","Esc. Mariscal De Ayacucho",155,0,0,0,11,4,7,2,0,179,0,3,182,210,0.061,0.867
"82","Chuquisaca","Sucre","Esc. Mariscal De Ayacucho",125,0,0,0,22,1,4,1,0,153,1,4,158,183,0.144,0.863
"83","Chuquisaca","Sucre","Col. Mariano Serrano",146,1,0,1,37,2,11,1,0,199,0,5,204,224,0.186,0.911
"84","Chuquisaca","Sucre","Col. Mariano Serrano",149,0,2,1,37,1,8,1,2,201,1,7,209,229,0.184,0.913
"85","Chuquisaca","Sucre","Col. Mariano Serrano",161,0,0,1,22,0,8,0,1,193,1,7,201,224,0.114,0.897
"86","Chuquisaca","Sucre","Col. Mariano Serrano",148,0,0,0,32,3,6,0,1,190,1,9,200,225,0.168,0.889
"87","Chuquisaca","Sucre","Col. Mariano Serrano",154,0,2,1,27,0,7,0,1,192,0,6,198,223,0.141,0.888
"88","Chuquisaca","Sucre","Col. Mariano Serrano",156,0,0,0,34,2,4,0,1,197,0,2,199,226,0.173,0.881
"89","Chuquisaca","Sucre","Col. Mariano Serrano",164,0,0,0,30,1,7,1,0,203,0,1,204,229,0.148,0.891
"90","Chuquisaca","Sucre","Col. Mariano Serrano",161,0,0,1,27,1,7,0,0,197,1,4,202,228,0.137,0.886
"91","Chuquisaca","Sucre","Col. Mariano Serrano",147,0,1,0,38,3,8,0,0,197,1,3,201,223,0.193,0.901
"92","Chuquisaca","Sucre","Col. Mariano Serrano",148,0,0,0,27,5,13,0,1,194,1,5,200,223,0.139,0.897
"93","Chuquisaca","Sucre","Col. Mariano Serrano",153,1,0,0,27,2,7,1,3,194,1,5,200,224,0.139,0.893
"94","Chuquisaca","Sucre","Col. Mariano Serrano",153,0,0,0,31,2,5,0,3,194,1,4,199,222,0.16,0.896
