"","Department","Municipality","Precinct","Turnout","MAS.vote","Fraud.type"
"285","Chuquisaca","Sucre","Salón Multifuncional Satélite",0.915,0.226,"Clean"
"286","Chuquisaca","Sucre","Salón Multifuncional Satélite",0.918,0.17,"Clean"
"287","Chuquisaca","Sucre","Salón Multifuncional Satélite",0.873,0.249,"Clean"
"288","Chuquisaca","Sucre","Salón Multifuncional Satélite",0.895,0.181,"Clean"
"289","Chuquisaca","Sucre","Colegio Fe y Alegria",0.898,0.223,"Clean"
"290","Chuquisaca","Sucre","Colegio Fe y Alegria",0.898,0.184,"Clean"
"291","Chuquisaca","Sucre","Colegio Fe y Alegria",0.886,0.206,"Clean"
"292","Chuquisaca","Sucre","Colegio Fe y Alegria",0.84,0.302,"Clean"
"293","Chuquisaca","Sucre","Colegio Fe y Alegria",0.892,0.259,"Clean"
"294","Chuquisaca","Sucre","Colegio Fe y Alegria",0.904,0.167,"Clean"
"295","Chuquisaca","Sucre","Colegio Fe y Alegria",0.935,0.229,"Clean"
"296","Chuquisaca","Sucre","Colegio Fe y Alegria",0.906,0.182,"Clean"
"297","Chuquisaca","Sucre","Colegio Fe y Alegria",0.857,0.187,"Clean"
"298","Chuquisaca","Sucre","Colegio Fe y Alegria",0.965,0.186,"BBS"
"299","Chuquisaca","Sucre","Colegio Fe y Alegria",0.858,0.284,"Clean"
"300","Chuquisaca","Sucre","Colegio Fe y Alegria",0.895,0.18,"Clean"
"301","Chuquisaca","Sucre","Colegio Fe y Alegria",0.877,0.142,"Clean"
"302","Chuquisaca","Sucre","Colegio Fe y Alegria",0.909,0.252,"Clean"
"303","Chuquisaca","Sucre","Colegio Fe y Alegria",0.879,0.18,"Clean"
"304","Chuquisaca","Sucre","Colegio Fe y Alegria",0.906,0.215,"Clean"
"305","Chuquisaca","Sucre","Colegio Fe y Alegria",0.907,0.176,"Clean"
"306","Chuquisaca","Sucre","Colegio Fe y Alegria",0.951,0.174,"BBS"
"307","Chuquisaca","Sucre","Colegio Fe y Alegria",0.927,0.179,"Clean"
"308","Chuquisaca","Sucre","Colegio Fe y Alegria",0.892,0.202,"Clean"
"309","Chuquisaca","Sucre","Colegio Fe y Alegria",0.926,0.201,"Clean"
"310","Chuquisaca","Sucre","Estadium Patria",0.905,0.172,"Clean"
"311","Chuquisaca","Sucre","Estadium Patria",0.887,0.131,"Clean"
"312","Chuquisaca","Sucre","Estadium Patria",0.908,0.116,"Clean"
"313","Chuquisaca","Sucre","Estadium Patria",0.918,0.188,"Clean"
"314","Chuquisaca","Sucre","Estadium Patria",0.874,0.194,"Clean"
"315","Chuquisaca","Sucre","Estadium Patria",0.93,0.128,"Clean"
"316","Chuquisaca","Sucre","Estadium Patria",0.904,0.152,"Clean"
